Pays,Serie,Valeurs 2017
Afghanistan,"Dette du gouvernement central, total (% du PIB)",
Afghanistan,"Rachats et frais du FMI (Service de la dette totale, $ US courants)",20943911
Afghanistan,Total de dette extérieure (% du RNB),0.334931251
Afghanistan,Valeur actuelle de la dette extérieure ($ US courants),
Afghanistan,"Compte de capitaux nets (BDP, $ US courants)",1305692895
Afghanistan,Taux d’intérêt des dépôts (%),
Afghanistan,Taux d’intérêt des prêts (%),14.83666667
Afghanistan,Taux d’intérêt réel (%),12.14117829
Afghanistan,Croissance du PIB (% annuel),2.647003202
Afghanistan,Croissance du PIB par habitant (% annuel),0.064764195
Afghanistan,PIB ($ US courants),18753469630
Afghanistan,PIB par habitant ($ US courants),516.6798622
Afghanistan,PIB par habitant ($ US constants de 2010),575.7070531
Afghanistan,PIB ($ US constants de 2010),20084636379
Afghanistan,RNB ($ US courants),19000254383
Afghanistan,RNB (dollars US constants 2010),
Afghanistan,Croissance du RNB (% annuel),
Afghanistan,Croissance du RNB par habitant (% annuel),
Afghanistan,RNB par habitant en PPA (dollars internationaux constants de 2011),2085.487571
Afghanistan,"RNB par habitant, ($ PPA internationaux courants)",2090
Afghanistan,"PIB par habitant, ($ PPA internationaux constants de 2011)",2058.400221
Afghanistan,"PIB par habitant, ($ PPA internationaux courants)",2058.400221
Afrique du Sud,"Dette du gouvernement central, total (% du PIB)",
Afrique du Sud,"Rachats et frais du FMI (Service de la dette totale, $ US courants)",1324335.2
Afrique du Sud,Total de dette extérieure (% du RNB),3.954913389
Afrique du Sud,Valeur actuelle de la dette extérieure ($ US courants),
Afrique du Sud,"Compte de capitaux nets (BDP, $ US courants)",18457584.66
Afrique du Sud,Taux d’intérêt des dépôts (%),7.245833333
Afrique du Sud,Taux d’intérêt des prêts (%),10.375
Afrique du Sud,Taux d’intérêt réel (%),4.647315485
Afrique du Sud,Croissance du PIB (% annuel),1.157946952
Afrique du Sud,Croissance du PIB par habitant (% annuel),-0.265300653
Afrique du Sud,PIB ($ US courants),3.81E+11
Afrique du Sud,PIB par habitant ($ US courants),6690.939847
Afrique du Sud,PIB par habitant ($ US constants de 2010),5672.693089
Afrique du Sud,PIB ($ US constants de 2010),3.53E+11
Afrique du Sud,RNB ($ US courants),3.71E+11
Afrique du Sud,RNB (dollars US constants 2010),3.43E+11
Afrique du Sud,Croissance du RNB (% annuel),0.907591322
Afrique du Sud,Croissance du RNB par habitant (% annuel),-0.51213389
Afrique du Sud,RNB par habitant en PPA (dollars internationaux constants de 2011),13475.98821
Afrique du Sud,"RNB par habitant, ($ PPA internationaux courants)",13480
Afrique du Sud,"PIB par habitant, ($ PPA internationaux constants de 2011)",13860.27017
Afrique du Sud,"PIB par habitant, ($ PPA internationaux courants)",13860.27017
Albanie,"Dette du gouvernement central, total (% du PIB)",
Albanie,"Rachats et frais du FMI (Service de la dette totale, $ US courants)",9112258.5
Albanie,Total de dette extérieure (% du RNB),3.930900165
Albanie,Valeur actuelle de la dette extérieure ($ US courants),
Albanie,"Compte de capitaux nets (BDP, $ US courants)",139366726.9
Albanie,Taux d’intérêt des dépôts (%),0.766666667
Albanie,Taux d’intérêt des prêts (%),6.22
Albanie,Taux d’intérêt réel (%),4.700726807
Albanie,Croissance du PIB (% annuel),3.8022274
Albanie,Croissance du PIB par habitant (% annuel),3.897740606
Albanie,PIB ($ US courants),13019689337
Albanie,PIB par habitant ($ US courants),4531.019374
Albanie,PIB par habitant ($ US constants de 2010),4249.79385
Albanie,PIB ($ US constants de 2010),12211628287
Albanie,RNB ($ US courants),13051480688
Albanie,RNB (dollars US constants 2010),12244443282
Albanie,Croissance du RNB (% annuel),2.44905325
Albanie,Croissance du RNB par habitant (% annuel),2.543321337
Albanie,RNB par habitant en PPA (dollars internationaux constants de 2011),12802.15504
Albanie,"RNB par habitant, ($ PPA internationaux courants)",12800
Albanie,"PIB par habitant, ($ PPA internationaux constants de 2011)",12770.971
Albanie,"PIB par habitant, ($ PPA internationaux courants)",12770.971
Algérie,"Dette du gouvernement central, total (% du PIB)",
Algérie,"Rachats et frais du FMI (Service de la dette totale, $ US courants)",888899.4
Algérie,Total de dette extérieure (% du RNB),0.143015262
Algérie,Valeur actuelle de la dette extérieure ($ US courants),
Algérie,"Compte de capitaux nets (BDP, $ US courants)",717788.5584
Algérie,Taux d’intérêt des dépôts (%),1.75
Algérie,Taux d’intérêt des prêts (%),8
Algérie,Taux d’intérêt réel (%),1.512675424
Algérie,Croissance du PIB (% annuel),1.3
Algérie,Croissance du PIB par habitant (% annuel),-0.750456692
Algérie,PIB ($ US courants),1.70E+11
Algérie,PIB par habitant ($ US courants),4109.698217
Algérie,PIB par habitant ($ US constants de 2010),4192.335033
Algérie,PIB ($ US constants de 2010),1.74E+11
