Pays,Serie,Valeurs 2017
Afghanistan,"Coût des procédures d’importation, formalités documentaires (USD)",900
Afghanistan,"Coût des procédures d’importation, formalités douanières (USD)",750
Afghanistan,Importations de biens et de services ($ US courants),
Afghanistan,Importations de marchandises ($ US courants),7065000000
Afghanistan,Importations de nourriture (% des marchandises importées),36.79344674
Afghanistan,Indice de la valeur des importations (2000=100),644.6148299
Afghanistan,Indice du volume des importations (2000=100),430.1815151
Afghanistan,"Coût des procédures d’exportation, formalités documentaires (USD)",344.4444
Afghanistan,"Coût des procédures d’exportation, formalités douanières (USD)",452.7778
Afghanistan,Exportations de biens et de services ($ US courants),
Afghanistan,Exportations de marchandises ($ US courants),723000000
Afghanistan,Exportations de nourriture (% des marchandises exportées),71.15901374
Afghanistan,Indice de la valeur des exportations (2000=100),568.0494057
Afghanistan,Indice du volume des exportations (2000=100),226.2537575
Afrique du Sud,"Coût des procédures d’importation, formalités documentaires (USD)",73
Afrique du Sud,"Coût des procédures d’importation, formalités douanières (USD)",667.5
Afrique du Sud,Importations de biens et de services ($ US courants),99923782384
Afrique du Sud,Importations de marchandises ($ US courants),1.02E+11
Afrique du Sud,Importations de nourriture (% des marchandises importées),7.878384305
Afrique du Sud,Indice de la valeur des importations (2000=100),342.0630978
Afrique du Sud,Indice du volume des importations (2000=100),251.3914783
Afrique du Sud,"Coût des procédures d’exportation, formalités documentaires (USD)",55
Afrique du Sud,"Coût des procédures d’exportation, formalités douanières (USD)",1257
Afrique du Sud,Exportations de biens et de services ($ US courants),1.04E+11
Afrique du Sud,Exportations de marchandises ($ US courants),88947000000
Afrique du Sud,Exportations de nourriture (% des marchandises exportées),10.89646469
Afrique du Sud,Indice de la valeur des exportations (2000=100),296.6574553
Afrique du Sud,Indice du volume des exportations (2000=100),144.2538
Albanie,"Coût des procédures d’importation, formalités documentaires (USD)",10
Albanie,"Coût des procédures d’importation, formalités douanières (USD)",77.3
Albanie,Importations de biens et de services ($ US courants),6070360621
Albanie,Importations de marchandises ($ US courants),5271000000
Albanie,Importations de nourriture (% des marchandises importées),14.85809828
Albanie,Indice de la valeur des importations (2000=100),483.1710525
Albanie,Indice du volume des importations (2000=100),325.6566185
Albanie,"Coût des procédures d’exportation, formalités documentaires (USD)",10
Albanie,"Coût des procédures d’exportation, formalités douanières (USD)",54.67
Albanie,Exportations de biens et de services ($ US courants),4110290932
Albanie,Exportations de marchandises ($ US courants),2292000000
Albanie,Exportations de nourriture (% des marchandises exportées),9.685980416
Albanie,Indice de la valeur des exportations (2000=100),876.7299781
Albanie,Indice du volume des exportations (2000=100),625.0912715
Algérie,"Coût des procédures d’importation, formalités documentaires (USD)",399.7778
Algérie,"Coût des procédures d’importation, formalités douanières (USD)",408.7778
Algérie,Importations de biens et de services ($ US courants),55603303506
Algérie,Importations de marchandises ($ US courants),46059000000
Algérie,Importations de nourriture (% des marchandises importées),20.23004201
