Pays,Serie,Valeurs 2017
Afghanistan,Chômage (% de la population active) (estimation nationale),11.18
Afghanistan,Croissance de la population (% annuel),2.54783304
Afghanistan,Densité de la population (personnes par kilomètre carré de superficie des terres),55.59555035
Afghanistan,"Population active, total",9948660
Afghanistan,"Population, total",36296111
Afghanistan,"Ratio emploi-population, personnes âgées de 15 ans et plus, total (%) (estimation modélisée OIT)",43.22
Afghanistan,Taux d’activité (% de la population âgée de 15 ans et plus) (estimation nationale),47.31
Afghanistan,"Taux de mortalité, brut (pour 1 000 personnes)",6.575
Afrique du Sud,Chômage (% de la population active) (estimation nationale),27.04
Afrique du Sud,Croissance de la population (% annuel),1.416947254
Afrique du Sud,Densité de la population (personnes par kilomètre carré de superficie des terres),46.99548343
Afrique du Sud,"Population active, total",22691810
Afrique du Sud,"Population, total",57009751
Afrique du Sud,"Ratio emploi-population, personnes âgées de 15 ans et plus, total (%) (estimation modélisée OIT)",40.99
Afrique du Sud,Taux d’activité (% de la population âgée de 15 ans et plus) (estimation nationale),55.36
Afrique du Sud,"Taux de mortalité, brut (pour 1 000 personnes)",9.498
Albanie,Chômage (% de la population active) (estimation nationale),13.62
Albanie,Croissance de la population (% annuel),-0.091972294
Albanie,Densité de la population (personnes par kilomètre carré de superficie des terres),104.8706934
Albanie,"Population active, total",1344945
Albanie,"Population, total",2873457
Albanie,"Ratio emploi-population, personnes âgées de 15 ans et plus, total (%) (estimation modélisée OIT)",49.32
Albanie,Taux d’activité (% de la population âgée de 15 ans et plus) (estimation nationale),58.06
Albanie,"Taux de mortalité, brut (pour 1 000 personnes)",7.714
Algérie,Chômage (% de la population active) (estimation nationale),13.57
Algérie,Croissance de la population (% annuel),2.044909313
Algérie,Densité de la population (personnes par kilomètre carré de superficie des terres),17.37769724
Algérie,"Population active, total",12464041
Algérie,"Population, total",41389174
Algérie,"Ratio emploi-population, personnes âgées de 15 ans et plus, total (%) (estimation modélisée OIT)",37.66
Algérie,Taux d’activité (% de la population âgée de 15 ans et plus) (estimation nationale),36.91
Algérie,"Taux de mortalité, brut (pour 1 000 personnes)",4.717
Allemagne,Chômage (% de la population active) (estimation nationale),3.75
Allemagne,Croissance de la population (% annuel),0.37372456
Allemagne,Densité de la population (personnes par kilomètre carré de superficie des terres),236.5887226
Allemagne,"Population active, total",43288289
Allemagne,"Population, total",82657002
Allemagne,"Ratio emploi-population, personnes âgées de 15 ans et plus, total (%) (estimation modélisée OIT)",58.25
Allemagne,Taux d’activité (% de la population âgée de 15 ans et plus) (estimation nationale),61.21
Allemagne,"Taux de mortalité, brut (pour 1 000 personnes)",11.3
Andorre,Chômage (% de la population active) (estimation nationale),
Andorre,Croissance de la population (% annuel),-0.386281039
Andorre,Densité de la population (personnes par kilomètre carré de superficie des terres),163.8234043
Andorre,"Population active, total",
Andorre,"Population, total",76997
Andorre,"Ratio emploi-population, personnes âgées de 15 ans et plus, total (%) (estimation modélisée OIT)",
Andorre,Taux d’activité (% de la population âgée de 15 ans et plus) (estimation nationale),
Andorre,"Taux de mortalité, brut (pour 1 000 personnes)",
Angola,Chômage (% de la population active) (estimation nationale),
Angola,Croissance de la population (% annuel),3.322158363
Angola,Densité de la population (personnes par kilomètre carré de superficie des terres),23.9165549
Angola,"Population active, total",12269167
Angola,"Population, total",29816769
Angola,"Ratio emploi-population, personnes âgées de 15 ans et plus, total (%) (estimation modélisée OIT)",72.06
Angola,Taux d’activité (% de la population âgée de 15 ans et plus) (estimation nationale),
Angola,"Taux de mortalité, brut (pour 1 000 personnes)",8.432
Antigua-et-Barbuda,Chômage (% de la population active) (estimation nationale),
Antigua-et-Barbuda,Croissance de la population (% annuel),0.952914631
Antigua-et-Barbuda,Densité de la population (personnes par kilomètre carré de superficie des terres),216.875
Antigua-et-Barbuda,"Population active, total",
Antigua-et-Barbuda,"Population, total",95425
Antigua-et-Barbuda,"Ratio emploi-population, personnes âgées de 15 ans et plus, total (%) (estimation modélisée OIT)",
Antigua-et-Barbuda,Taux d’activité (% de la population âgée de 15 ans et plus) (estimation nationale),
Antigua-et-Barbuda,"Taux de mortalité, brut (pour 1 000 personnes)",6.316
Arabie saoudite,Chômage (% de la population active) (estimation nationale),5.89
Arabie saoudite,Croissance de la population (% annuel),2.007066391
Arabie saoudite,Densité de la population (personnes par kilomètre carré de superficie des terres),15.39811926
Arabie saoudite,"Population active, total",13839632
Arabie saoudite,"Population, total",33101183
Arabie saoudite,"Ratio emploi-population, personnes âgées de 15 ans et plus, total (%) (estimation modélisée OIT)",52.65
Arabie saoudite,Taux d’activité (% de la population âgée de 15 ans et plus) (estimation nationale),54.92
Arabie saoudite,"Taux de mortalité, brut (pour 1 000 personnes)",3.446
Argentine,Chômage (% de la population active) (estimation nationale),8.35
Argentine,Croissance de la population (% annuel),1.037133897
Argentine,Densité de la population (personnes par kilomètre carré de superficie des terres),16.09419079
Argentine,"Population active, total",20034606
Argentine,"Population, total",44044811
Argentine,"Ratio emploi-population, personnes âgées de 15 ans et plus, total (%) (estimation modélisée OIT)",55.53
Argentine,Taux d’activité (% de la population âgée de 15 ans et plus) (estimation nationale),58.81
Argentine,"Taux de mortalité, brut (pour 1 000 personnes)",7.616
Arménie,Chômage (% de la population active) (estimation nationale),17.7
Arménie,Croissance de la population (% annuel),0.293899006
Arménie,Densité de la population (personnes par kilomètre carré de superficie des terres),103.4348086
Arménie,"Population active, total",1298421
Arménie,"Population, total",2944789
Arménie,"Ratio emploi-population, personnes âgées de 15 ans et plus, total (%) (estimation modélisée OIT)",45.62
Arménie,Taux d’activité (% de la population âgée de 15 ans et plus) (estimation nationale),60.82
Arménie,"Taux de mortalité, brut (pour 1 000 personnes)",9.862
Aruba,Chômage (% de la population active) (estimation nationale),
Aruba,Croissance de la population (% annuel),0.471874003
Aruba,Densité de la population (personnes par kilomètre carré de superficie des terres),585.3388889
Aruba,"Population active, total",
Aruba,"Population, total",105361
Aruba,"Ratio emploi-population, personnes âgées de 15 ans et plus, total (%) (estimation modélisée OIT)",
Aruba,Taux d’activité (% de la population âgée de 15 ans et plus) (estimation nationale),
Aruba,"Taux de mortalité, brut (pour 1 000 personnes)",8.907
Australie,Chômage (% de la population active) (estimation nationale),5.59
Australie,Croissance de la population (% annuel),1.684523108
Australie,Densité de la population (personnes par kilomètre carré de superficie des terres),3.198361419
Australie,"Population active, total",12988276
Australie,"Population, total",24601860
Australie,"Ratio emploi-population, personnes âgées de 15 ans et plus, total (%) (estimation modélisée OIT)",61.59
Australie,Taux d’activité (% de la population âgée de 15 ans et plus) (estimation nationale),65.17
Australie,"Taux de mortalité, brut (pour 1 000 personnes)",6.5
Autriche,Chômage (% de la population active) (estimation nationale),5.5
Autriche,Croissance de la population (% annuel),0.694621104
Autriche,Densité de la population (personnes par kilomètre carré de superficie des terres),106.6113185
Autriche,"Population active, total",4566592
Autriche,"Population, total",8797566
Autriche,"Ratio emploi-population, personnes âgées de 15 ans et plus, total (%) (estimation modélisée OIT)",57.19
Autriche,Taux d’activité (% de la population âgée de 15 ans et plus) (estimation nationale),61.22
Autriche,"Taux de mortalité, brut (pour 1 000 personnes)",9.5
Azerbaïdjan,Chômage (% de la population active) (estimation nationale),5
Azerbaïdjan,Croissance de la population (% annuel),0.981261805
Azerbaïdjan,Densité de la population (personnes par kilomètre carré de superficie des terres),119.2087416
Azerbaïdjan,"Population active, total",5033711
Azerbaïdjan,"Population, total",9854033
Azerbaïdjan,"Ratio emploi-population, personnes âgées de 15 ans et plus, total (%) (estimation modélisée OIT)",63.26
Azerbaïdjan,Taux d’activité (% de la population âgée de 15 ans et plus) (estimation nationale),66.2
Azerbaïdjan,"Taux de mortalité, brut (pour 1 000 personnes)",5.8
Bahamas,Chômage (% de la population active) (estimation nationale),9.8
Bahamas,Croissance de la population (% annuel),1.007285341
Bahamas,Densité de la population (personnes par kilomètre carré de superficie des terres),38.13676324
Bahamas,"Population active, total",222764
Bahamas,"Population, total",381749
Bahamas,"Ratio emploi-population, personnes âgées de 15 ans et plus, total (%) (estimation modélisée OIT)",68.24
